exp_name                                     , mode , ring_type, fold     , task          , scene     , input_type                                                                                , dataset_task                                                                         , method_name   , epochs, lr    , criterion, batch_size, sample_len, mae_with_std, rmse_with_std, mape_with_std, pearson_with_std
resnet-ring2-samsung_hr-stationary-ir        , test , ring2    , all-folds, samsung_hr    , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , resnet        ,    200, 0.001 , mse      ,        128,         95, 5.56±0.52   , 7.53±3.08    , 7.27±0.77    , 0.82±0.06
transformer-ring2-oura_hr-all-ir             , test , ring2    , all-folds, oura_hr       , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,        128,        160, 10.37±0.70  , 13.64±5.40   , 13.23±1.10   , 0.39±0.07
inception-time-ring1-oura_hr-stationary-ir   , test , ring1    , all-folds, oura_hr       , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , inception_time,    200, 0.001 , mse      ,        128,        198, 5.21±0.33   , 6.94±2.33    , 6.56±0.42    , 0.87±0.04
inception-time-ring1-hr-all-ir               , 5fold, ring1    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,       1892, 7.24±0.18   , 10.78±2.62   , 9.30±0.29    , 0.59±0.02
inception-time-ring1-hr-all-ir               , test , ring1    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,       1929, 6.01±0.17   , 9.63±2.53    , 7.84±0.28    , 0.68±0.02
resnet-ring2-spo2-spo2-irred                 , 5fold, ring2    , all-folds, spo2          , unknown   , "['ir-filtered', 'red-filtered']"                                                         , ['spo2']                                                                             , resnet        ,    200, 0.001 , mse      ,        128,        262, 3.48±0.22   , 4.93±1.63    , 3.88±0.25    , -0.02±0.06
transformer-ring2-bp-all-irred               , 5fold, ring2    , all-folds, BP_dia        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,         16,         97, 8.87±0.65   , 10.94±3.87   , 13.78±1.09   , -0.08±0.10
transformer-ring2-bp-all-irred               , 5fold, ring2    , all-folds, BP_sys        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,         16,         97, 17.13±1.10  , 20.23±6.72   , 15.65±0.93   , -0.08±0.10
transformer-ring2-samsung_hr-motion-ir       , test , ring2    , all-folds, samsung_hr    , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , transformer   ,    200, 0.001 , mse      ,        128,         25, 17.20±3.16  , 23.16±12.27  , 22.42±5.76   , -0.19±0.20
mamba2-ring1-rr-motion-ir                    , 5fold, ring1    , all-folds, resp_rr       , motion    , ['ir-filtered-rr']                                                                        , "['deepsquat', 'striding']"                                                          , mamba2        ,    200, 0.0001, mse      ,          8,         59, 3.93±0.40   , 4.99±2.10    , 20.68±3.82   , -0.31±0.13
inception-time-ring1-samsung_hr-all-ir       , test , ring1    , all-folds, samsung_hr    , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,        186, 8.00±0.73   , 12.80±5.57   , 10.47±1.23   , 0.58±0.06
transformer-ring1-oura_hr-motion-ir          , test , ring1    , all-folds, oura_hr       , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , transformer   ,    200, 0.001 , mse      ,        128,         39, 19.69±2.56  , 25.23±11.11  , 29.53±5.42   , -0.04±0.16
transformer-ring2-oura_hr-motion-ir          , test , ring2    , all-folds, oura_hr       , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , transformer   ,    200, 0.001 , mse      ,        128,         27, 17.03±3.08  , 23.18±12.19  , 21.70±5.40   , -0.15±0.20
mamba2-ring1-hr-all-irimu                    , 5fold, ring1    , all-folds, hr            , all       , "['ir-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']"                , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", mamba2        ,    200, 0.0001, mse      ,          8,        532, 13.36±0.39  , 16.14±3.83   , 15.94±0.48   , -0.01±0.04
inception-time-ring1-hr-stationary-ir        , test , ring1    , all-folds, hr            , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , inception_time,    200, 0.001 , mse      ,        128,       1738, 4.61±0.11   , 6.37±1.40    , 5.86±0.13    , 0.84±0.01
ratio                                        , test , ring2    ,          , spo2          , unknown   , "['ir-raw', 'red-raw']"                                                                   , ['spo2']                                                                             , ratio         ,    200, 0.001 , mse      ,        128,        262, 3.31±0.13   , 3.95±1.15    , 3.58±0.15    , 0.28±0.06
ratio                                        , test , ring1    ,          , spo2          , unknown   , "['ir-raw', 'red-raw']"                                                                   , ['spo2']                                                                             , ratio         ,    200, 0.001 , mse      ,        128,        456, 3.57±0.14   , 4.65±1.34    , 3.86±0.16    , 0.30±0.04
inception-time-ring2-samsung_hr-all-ir       , test , ring2    , all-folds, samsung_hr    , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,        120, 10.79±0.84  , 14.15±5.79   , 13.83±1.47   , 0.39±0.08
resnet-ring1-hr-all-ir                       , 5fold, ring1    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1892, 6.39±0.18   , 10.10±2.72   , 8.53±0.33    , 0.67±0.02
resnet-ring1-hr-all-ir                       , test , ring1    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1929, 5.09±0.16   , 8.80±2.51    , 6.87±0.31    , 0.75±0.02
resnet-ring2-oura_hr-all-ir                  , test , ring2    , all-folds, oura_hr       , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,        160, 7.55±0.69   , 11.55±5.03   , 10.22±1.23   , 0.62±0.06
mamba2-ring2-hr-motion-ir                    , 5fold, ring2    , all-folds, hr            , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , mamba2        ,    200, 0.0001, mse      ,          8,         42, 20.30±2.12  , 24.42±10.14  , 26.74±3.95   , -0.27±0.15
resnet-ring2-bp-all-irred                    , 5fold, ring2    , all-folds, BP_dia        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,         97, 8.63±0.68   , 10.89±4.22   , 13.66±1.19   , -0.14±0.10
resnet-ring2-bp-all-irred                    , 5fold, ring2    , all-folds, BP_sys        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,         97, 17.32±1.07  , 20.26±6.55   , 16.50±1.05   , -0.13±0.10
resnet-ring2-oura_hr-stationary-ir           , test , ring2    , all-folds, oura_hr       , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , resnet        ,    200, 0.001 , mse      ,        128,        133, 5.93±0.51   , 8.35±3.37    , 8.01±0.78    , 0.75±0.06
mamba2-ring1-rr-stationary-ir                , 5fold, ring1    , all-folds, resp_rr       , stationary, ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , mamba2        ,    200, 0.0001, mse      ,          8,        475, 4.22±0.13   , 5.05±1.21    , 29.41±1.36   , -0.27±0.04
peak-stationary                              , test , ring2    ,          , hr            , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,       1653, 28.50±0.55  , 36.10±6.15   , 37.93±0.76   , 0.06±0.02
peak-stationary                              , test , ring1    ,          , hr            , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,       1738, 18.17±0.46  , 26.47±5.19   , 23.49±0.60   , 0.38±0.02
peak-stationary                              , test , ring2    ,          , samsung_hr    , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,         95, 14.64±1.65  , 21.69±10.38  , 19.30±2.23   , 0.19±0.10
peak-stationary                              , test , ring1    ,          , samsung_hr    , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        151, 18.10±1.54  , 26.10±9.22   , 23.07±1.99   , 0.40±0.08
peak-stationary                              , test , ring2    ,          , oura_hr       , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        133, 13.79±1.12  , 18.83±7.73   , 18.77±1.57   , 0.40±0.08
peak-stationary                              , test , ring1    ,          , oura_hr       , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        198, 19.10±1.40  , 27.39±8.54   , 24.83±1.87   , 0.33±0.07
peak-stationary                              , test , ring2    ,          , samsung_hr_com, stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,         95, 3.07±0.26   , 4.00±1.62    , 3.89±0.35    , 0.97±0.03
peak-stationary                              , test , ring1    ,          , samsung_hr_com, stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        151, 3.27±0.22   , 4.25±1.47    , 4.07±0.29    , 0.96±0.02
peak-stationary                              , test , ring2    ,          , resp_rr       , stationary, ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,       1532, 3.72±0.09   , 5.06±1.06    , 24.32±0.75   , 0.19±0.03
peak-stationary                              , test , ring1    ,          , resp_rr       , stationary, ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,       1675, 2.85±0.07   , 3.94±0.85    , 18.22±0.53   , 0.44±0.02
peak-stationary                              , test , ring2    ,          , oura_hr_com   , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        133, 3.60±0.29   , 4.91±1.99    , 4.64±0.38    , 0.93±0.03
peak-stationary                              , test , ring1    ,          , oura_hr_com   , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , peak          ,    200, 0.001 , mse      ,        128,        198, 3.62±0.24   , 4.91±1.76    , 4.47±0.29    , 0.93±0.03
transformer-ring1-bp-all-irred               , 5fold, ring1    , all-folds, BP_dia        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,         16,        133, 8.66±0.52   , 10.53±3.42   , 13.45±0.89   , -0.06±0.09
transformer-ring1-bp-all-irred               , 5fold, ring1    , all-folds, BP_sys        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,         16,        133, 15.04±0.79  , 17.58±5.43   , 14.08±0.71   , 0.08±0.09
resnet-ring1-rr-all-ir                       , 5fold, ring1    , all-folds, resp_rr       , all       , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1833, 3.13±0.06   , 4.06±0.80    , 20.13±0.52   , 0.28±0.02
resnet-ring1-rr-all-ir                       , test , ring1    , all-folds, resp_rr       , all       , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1870, 3.10±0.06   , 3.98±0.77    , 20.49±0.53   , 0.37±0.02
resnet-ring1-oura_hr-motion-ir               , test , ring1    , all-folds, oura_hr       , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , resnet        ,    200, 0.001 , mse      ,        128,         39, 19.54±2.57  , 25.18±11.33  , 30.45±5.97   , -0.01±0.16
resnet-ring2-hr-all-ir                       , 5fold, ring2    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1730, 7.50±0.19   , 10.78±2.59   , 9.94±0.33    , 0.47±0.02
resnet-ring2-hr-all-ir                       , test , ring2    , all-folds, hr            , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,       1834, 7.11±0.16   , 10.00±2.32   , 9.56±0.30    , 0.56±0.02
inception-time-ring1-rr-all-ir               , 5fold, ring1    , all-folds, resp_rr       , all       , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,       1833, 3.12±0.06   , 4.05±0.78    , 20.00±0.52   , 0.26±0.02
inception-time-ring1-rr-all-ir               , test , ring1    , all-folds, resp_rr       , all       , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", inception_time,    200, 0.001 , mse      ,        128,       1870, 3.08±0.06   , 4.00±0.77    , 20.25±0.53   , 0.34±0.02
inceptiontime-ring2-spo2-spo2-irred          , 5fold, ring2    , all-folds, spo2          , unknown   , "['ir-filtered', 'red-filtered']"                                                         , ['spo2']                                                                             , inception_time,    200, 0.001 , mse      ,        128,        262, 3.46±0.22   , 4.91±1.61    , 3.86±0.25    , 0.00±0.06
peak                                         , test , ring2    ,          , hr            , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,       1834, 28.53±0.51  , 36.03±6.01   , 38.24±0.77   , 0.00±0.02
peak                                         , test , ring1    ,          , hr            , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,       1929, 18.47±0.44  , 26.72±5.13   , 24.72±0.67   , 0.32±0.02
peak                                         , test , ring2    ,          , samsung_hr    , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        120, 17.18±1.56  , 24.21±10.08  , 23.29±2.57   , 0.07±0.09
peak                                         , test , ring1    ,          , samsung_hr    , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        186, 18.93±1.43  , 27.12±9.36   , 25.99±2.43   , 0.30±0.07
peak                                         , test , ring2    ,          , oura_hr       , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        160, 15.75±1.14  , 21.33±8.11   , 21.73±1.93   , 0.27±0.08
peak                                         , test , ring1    ,          , oura_hr       , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        237, 19.82±1.32  , 28.37±8.79   , 27.78±2.25   , 0.26±0.06
peak                                         , test , ring2    ,          , samsung_hr_com, unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        120, 9.94±1.57   , 19.78±10.91  , 13.32±2.83   , 0.61±0.07
peak                                         , test , ring1    ,          , samsung_hr_com, unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        186, 9.90±1.25   , 19.72±9.49   , 13.94±2.34   , 0.56±0.06
peak                                         , test , ring2    ,          , resp_rr       , unknown   , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,       1704, 3.84±0.08   , 5.19±1.04    , 24.62±0.72   , 0.22±0.02
peak                                         , test , ring1    ,          , resp_rr       , unknown   , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,       1870, 2.98±0.07   , 4.12±0.85    , 18.39±0.50   , 0.50±0.02
peak                                         , test , ring2    ,          , oura_hr_com   , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        160, 10.56±1.43  , 20.88±10.67  , 14.38±2.63   , 0.49±0.07
peak                                         , test , ring1    ,          , oura_hr_com   , unknown   , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", peak          ,    200, 0.001 , mse      ,        128,        237, 10.09±1.13  , 20.05±9.23   , 14.67±2.23   , 0.47±0.06
resnet-ring1-bp-all-irred                    , 5fold, ring1    , all-folds, BP_dia        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,        133, 7.42±0.52   , 9.53±3.49    , 11.42±0.83   , 0.11±0.09
resnet-ring1-bp-all-irred                    , 5fold, ring1    , all-folds, BP_sys        , all       , "['ir-filtered', 'red-filtered']"                                                         , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", resnet        ,    200, 0.001 , mse      ,        128,        133, 14.00±0.85  , 17.07±5.69   , 13.26±0.80   , 0.06±0.09
mamba2-ring2-hr-all-irredimu                 , 5fold, ring2    , all-folds, hr            , all       , "['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']", "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", mamba2        ,    200, 0.0001, mse      ,          8,        429, 10.73±0.35  , 12.96±3.59   , 13.62±0.52   , 0.09±0.05
resnet-ring1-rr-motion-ir                    , test , ring1    , all-folds, resp_rr       , motion    , ['ir-filtered-rr']                                                                        , "['deepsquat', 'striding']"                                                          , resnet        ,    200, 0.001 , mse      ,        128,        195, 4.78±0.23   , 5.77±1.65    , 22.44±1.27   , 0.05±0.07
transformer-ring2-oura_hr-stationary-ir      , test , ring2    , all-folds, oura_hr       , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , transformer   ,    200, 0.001 , mse      ,        128,        133, 9.01±0.50   , 10.72±3.31   , 11.51±0.68   , 0.54±0.07
resnet-ring1-samsung_hr-stationary-ir        , test , ring1    , all-folds, samsung_hr    , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , resnet        ,    200, 0.001 , mse      ,        128,        151, 3.39±0.24   , 4.49±1.71    , 4.10±0.29    , 0.94±0.03
transformer-ring1-samsung_hr-motion-ir       , test , ring1    , all-folds, samsung_hr    , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , transformer   ,    200, 0.001 , mse      ,        128,         35, 18.44±2.63  , 23.99±11.17  , 26.36±5.34   , -0.00±0.17
transformer-ring1-oura_hr-all-ir             , test , ring1    , all-folds, oura_hr       , all       , ['ir-filtered']                                                                           , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,        128,        237, 8.00±0.62   , 12.41±5.01   , 10.66±1.11   , 0.63±0.05
transformer-ring2-spo2-spo2-irred            , 5fold, ring2    , all-folds, spo2          , unknown   , "['ir-filtered', 'red-filtered']"                                                         , ['spo2']                                                                             , transformer   ,    200, 0.001 , mse      ,         16,        262, 3.49±0.22   , 4.99±1.64    , 3.91±0.26    , 0.06±0.06
transformer-ring1-hr-stationary-ir           , test , ring1    , all-folds, hr            , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , transformer   ,    200, 0.001 , mse      ,        128,       1738, 5.33±0.11   , 7.14±1.50    , 6.54±0.14    , 0.80±0.01
transformer-ring1-rr-all-ir                  , 5fold, ring1    , all-folds, resp_rr       , all       , ['ir-filtered-rr']                                                                        , "['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']", transformer   ,    200, 0.001 , mse      ,        128,       1833, 3.34±0.06   , 4.31±0.82    , 21.31±0.55   , -0.05±0.02
